chr,pos,marker
1,516.1294345,h2tg000001l_837433
1,522.7262317,h2tg000001l_837477
1,526.0023181,h2tg000001l_837499
1,526.9977839,h2tg000001l_837526
1,528.2293712,h2tg000001l_837599
1,528.229629,h2tg000001l_837611
1,528.2297712,h2tg000001l_837616
1,546.8498952,h2tg000001l_853576
1,546.8543963,h2tg000001l_853582
1,546.8544624,h2tg000001l_853606
1,551.6409955,h2tg000001l_870270
1,552.1846569,h2tg000001l_872381
1,558.7932867,h2tg000001l_894352
1,568.770285,h2tg000001l_894572
1,581.6435663,h2tg000001l_897849
1,582.4038894,h2tg000001l_897898
1,582.4038897,h2tg000001l_897901
1,582.4038901,h2tg000001l_897908
1,582.4038916,h2tg000001l_897917
1,584.0259508,h2tg000001l_897971
1,584.0261117,h2tg000001l_898009
1,584.0261523,h2tg000001l_898022
1,584.0261741,h2tg000001l_898029
1,584.0261752,h2tg000001l_898036
1,584.026221,h2tg000001l_898057
1,589.5490124,h2tg000001l_898102
1,589.6579867,h2tg000001l_898138
1,589.6579869,h2tg000001l_898140
1,590.3138517,h2tg000001l_898232
1,590.3138581,h2tg000001l_898246
1,590.3138582,h2tg000001l_898247
1,590.4346746,h2tg000001l_898270
1,595.3775759,h2tg000001l_905758
1,605.1548364,h2tg000001l_906045
1,605.1827787,h2tg000001l_906072
1,615.2816067,h2tg000001l_907435
1,624.3410329,h2tg000001l_917211
1,624.341033,h2tg000001l_917231
1,637.0527773,h2tg000001l_918054
1,650.1069192,h2tg000001l_925882
1,650.1069857,h2tg000001l_925912
1,658.6043677,h2tg000001l_926109
1,660.8364925,h2tg000001l_926405
1,660.8364926,h2tg000001l_926420
1,667.1737206,h2tg000001l_927785
1,674.3707667,h2tg000001l_928798
1,674.3707669,h2tg000001l_928822
1,677.3510791,h2tg000001l_929704
1,683.6488343,h2tg000001l_929760
1,684.4915206,h2tg000001l_929907
1,684.4915229,h2tg000001l_929925
1,697.5196155,h2tg000001l_937362
1,700.1840291,h2tg000001l_937511
1,715.8085434,h2tg000001l_937620
1,715.8085438,h2tg000001l_937623
1,715.8085445,h2tg000001l_937629
1,718.2678156,h2tg000001l_937716
1,719.6854815,h2tg000001l_937737
1,719.6854828,h2tg000001l_937743
1,719.6854832,h2tg000001l_937749
1,719.6995291,h2tg000001l_937767
1,723.4975664,h2tg000001l_942195
1,726.7857911,h2tg000001l_948713
1,726.8635115,h2tg000001l_948880
1,727.80678,h2tg000001l_955399
1,727.8072034,h2tg000001l_955402
1,727.8090317,h2tg000001l_955450
1,727.8094126,h2tg000001l_955460
1,727.8095269,h2tg000001l_955463
1,727.8111266,h2tg000001l_955505
1,728.2087012,h2tg000001l_965850
1,728.7713143,h2tg000001l_980435
1,732.054258,h2tg000001l_983254
1,732.0600825,h2tg000001l_983353
1,734.7166567,h2tg000001l_983707
1,739.4062114,h2tg000001l_987643
1,739.8356857,h2tg000001l_987866
1,744.4011105,h2tg000001l_1016231
1,745.8989453,h2tg000001l_1053286
1,745.8989842,h2tg000001l_1053287
1,746.7947564,h2tg000001l_1075794
1,748.9126812,h2tg000001l_1109230
1,749.9765136,h2tg000001l_1169788
1,755.8802151,h2tg000001l_1184820
1,755.8802152,h2tg000001l_1184823
1,770.5829624,h2tg000001l_1193422
1,770.9546912,h2tg000001l_1193729
1,770.9698174,h2tg000001l_1193746
1,770.9698175,h2tg000001l_1193749
1,775.1746176,h2tg000001l_1203164
1,775.1766186,h2tg000001l_1203169
1,786.0972525,h2tg000001l_1223819
1,797.1511742,h2tg000001l_1240971
1,797.151176,h2tg000001l_1240976
1,797.1511761,h2tg000001l_1240988
1,806.0527979,h2tg000001l_1255943
1,806.2348942,h2tg000001l_1263062
1,808.5809906,h2tg000001l_1316862
1,809.696191,h2tg000001l_1337276
1,811.989965,h2tg000001l_1378052
1,813.4794837,h2tg000001l_1379091
1,813.4836202,h2tg000001l_1379094
1,817.7266195,h2tg000001l_1381850
1,817.8200016,h2tg000001l_1381870
1,817.843306,h2tg000001l_1381875
1,825.2314295,h2tg000001l_1408640
1,825.2314394,h2tg000001l_1408697
1,825.2314416,h2tg000001l_1408715
1,825.2994123,h2tg000001l_1408736
1,825.7701338,h2tg000001l_1408775
1,834.841978,h2tg000001l_1409380
1,834.842307,h2tg000001l_1409403
1,848.2319809,h2tg000001l_1427524
1,850.1578483,h2tg000001l_1430985
1,859.9561093,h2tg000001l_1433978
1,862.3472772,h2tg000001l_1434390
1,862.3690666,h2tg000001l_1434394
1,862.3692486,h2tg000001l_1434396
1,862.3699766,h2tg000001l_1434404
1,862.3707955,h2tg000001l_1434413
1,867.5399741,h2tg000001l_1484302
1,868.2528754,h2tg000001l_1491996
1,869.1638086,h2tg000001l_1501778
1,869.1638996,h2tg000001l_1501779
1,869.1659015,h2tg000001l_1501801
1,882.0476473,h2tg000001l_1604960
1,882.0501043,h2tg000001l_1604987
1,882.0503773,h2tg000001l_1604990
1,882.0520152,h2tg000001l_1605008
1,882.1621515,h2tg000001l_1606215
1,898.1946367,h2tg000001l_1606679
1,903.3281076,h2tg000001l_1627596
1,906.5801215,h2tg000001l_1667172
1,906.5801221,h2tg000001l_1667173
1,906.5801231,h2tg000001l_1667175
1,906.5801333,h2tg000001l_1667189
1,917.3723068,h2tg000001l_1675855
1,917.3723243,h2tg000001l_1675861
1,930.4324029,h2tg000001l_1676038
1,930.6339988,h2tg000001l_1676079
1,930.6340252,h2tg000001l_1676093
1,930.6340253,h2tg000001l_1676094
1,930.6340605,h2tg000001l_1676182
1,938.137221,h2tg000001l_1679705
1,938.1374649,h2tg000001l_1679864
1,947.7322258,h2tg000001l_1684187
1,947.7322264,h2tg000001l_1684190
1,947.7322269,h2tg000001l_1684196
1,947.7322281,h2tg000001l_1684212
1,947.7322287,h2tg000001l_1684217
1,955.6017408,h2tg000001l_1702271
1,955.6017656,h2tg000001l_1702283
1,955.6681375,h2tg000001l_1702446
1,960.2224024,h2tg000001l_1737759
1,962.2562948,h2tg000001l_1745758
1,962.261833,h2tg000001l_1745781
1,963.2508608,h2tg000001l_1749781
1,973.6417117,h2tg000001l_1785530
1,973.6417227,h2tg000001l_1785550
1,976.591034,h2tg000001l_1785596
1,986.7735828,h2tg000001l_1787231
1,1003.350871,h2tg000001l_1787415
1,1003.350892,h2tg000001l_1787468
1,1009.403476,h2tg000001l_1787772
1,1010.776423,h2tg000001l_1806993
1,1010.779115,h2tg000001l_1807032
1,1010.779123,h2tg000001l_1807073
1,1020.640671,h2tg000001l_1807142
1,1020.835906,h2tg000001l_1807290
1,1020.835907,h2tg000001l_1807291
1,1030.517142,h2tg000001l_1816859
1,1030.643931,h2tg000001l_1844529
1,1030.689034,h2tg000001l_1854366
1,1031.57987,h2tg000001l_1870675
1,1032.536411,h2tg000001l_1888158
1,1032.87633,h2tg000001l_1894468
1,1032.877291,h2tg000001l_1894486
1,1032.88493,h2tg000001l_1894629
1,1032.887708,h2tg000001l_1894681
1,1033.041537,h2tg000001l_1897550
1,1033.080375,h2tg000001l_1897748
1,1033.090959,h2tg000001l_1897802
1,1033.097426,h2tg000001l_1897835
1,1038.810675,h2tg000001l_1922923
1,1039.298668,h2tg000001l_1934019
1,1044.524146,h2tg000001l_2015411
1,1044.924924,h2tg000001l_2025125
1,1045.028774,h2tg000001l_2025219
1,1049.376357,h2tg000001l_2027303
1,1050.459024,h2tg000001l_2035451
1,1050.485397,h2tg000001l_2042693
1,1050.615918,h2tg000001l_2078518
1,1050.615921,h2tg000001l_2078519
1,1050.615954,h2tg000001l_2078528
1,1050.616038,h2tg000001l_2078551
1,1050.616082,h2tg000001l_2078563
1,1050.616621,h2tg000001l_2078711
1,1050.616639,h2tg000001l_2078716
1,1050.703581,h2tg000001l_2102584
1,1051.156548,h2tg000001l_2118065
1,1055.89611,h2tg000001l_2122076
1,1055.896112,h2tg000001l_2122091
1,1055.896112,h2tg000001l_2122092
1,1076.188516,h2tg000001l_2127206
1,1077.326691,h2tg000001l_2127352
1,1089.313451,h2tg000001l_2127530
1,1102.80944,h2tg000001l_2130561
1,1102.816813,h2tg000001l_2130597
1,1105.645418,h2tg000001l_2130732
1,1105.645428,h2tg000001l_2130748
1,1128.303234,h2tg000001l_2133477
1,1128.303264,h2tg000001l_2133594
1,1145.658764,h2tg000001l_2137951
1,1151.848614,h2tg000001l_2150124
1,1152.136203,h2tg000001l_2150783
1,1152.13622,h2tg000001l_2150794
1,1152.136234,h2tg000001l_2150801
1,1152.136456,h2tg000001l_2150916
1,1152.24216,h2tg000001l_2151142
1,1152.265962,h2tg000001l_2151193
1,1152.268761,h2tg000001l_2151199
1,1155.178454,h2tg000001l_2156979
1,1155.215336,h2tg000001l_2157058
1,1158.192309,h2tg000001l_2189715
1,1159.301679,h2tg000001l_2197427
1,1162.055535,h2tg000001l_2212899
1,1162.055536,h2tg000001l_2212903
1,1162.055538,h2tg000001l_2212913
1,1162.302243,h2tg000001l_2213086
1,1165.16643,h2tg000001l_2215093
1,1165.208834,h2tg000001l_2215125
1,1167.370847,h2tg000001l_2216668
1,1175.872835,h2tg000001l_2241057
1,1175.872835,h2tg000001l_2241059
1,1175.872836,h2tg000001l_2241064
1,1176.670008,h2tg000001l_2241067
1,1178.445139,h2tg000001l_2244606
1,1178.513898,h2tg000001l_2244749
1,1178.518699,h2tg000001l_2244759
1,1182.837929,h2tg000001l_2252850
1,1182.837939,h2tg000001l_2252853
1,1182.838057,h2tg000001l_2252871
1,1183.378652,h2tg000001l_2252873
1,1190.893146,h2tg000001l_2256853
1,1193.160563,h2tg000001l_2258217
1,1193.160563,h2tg000001l_2258228
1,1201.404666,h2tg000001l_2258296
1,1201.404667,h2tg000001l_2258300
1,1205.6955,h2tg000001l_2258326
1,1205.69554,h2tg000001l_2258334
1,1205.737874,h2tg000001l_2258360
1,1205.913564,h2tg000001l_2258369
1,1208.258217,h2tg000001l_2258471
1,1209.210565,h2tg000001l_2258502
1,1210.707863,h2tg000001l_2258523
1,1217.689583,h2tg000001l_2259140
1,1217.689583,h2tg000001l_2259143
1,1217.689584,h2tg000001l_2259178
1,1217.689584,h2tg000001l_2259179
1,1218.351137,h2tg000001l_2259257
1,1218.730878,h2tg000001l_2259281
1,1219.690397,h2tg000001l_2259359
1,1228.246576,h2tg000001l_2259407
1,1228.246658,h2tg000001l_2259416
1,1228.246674,h2tg000001l_2259425
1,1228.246684,h2tg000001l_2259431
1,1228.246712,h2tg000001l_2259443
1,1228.686097,h2tg000001l_2259506
1,1231.949528,h2tg000001l_2259566
1,1231.978191,h2tg000001l_2259584
1,1241.659756,h2tg000001l_2259827
1,1241.82491,h2tg000001l_2259871
1,1241.824961,h2tg000001l_2259875
1,1241.939468,h2tg000001l_2259897
1,1241.942611,h2tg000001l_2259920
1,1255.828355,h2tg000001l_2296661
1,1256.652666,h2tg000001l_2296694
1,1258.376112,h2tg000001l_2296703
1,1264.815723,h2tg000001l_2296859
1,1270.990548,h2tg000001l_2298484
1,1273.397362,h2tg000001l_2298538
1,1274.272864,h2tg000001l_2298617
1,1277.39505,h2tg000001l_2298629
1,1292.35027,h2tg000001l_2313356
1,1292.35027,h2tg000001l_2313362
1,1296.095732,h2tg000001l_2325690
1,1296.097667,h2tg000001l_2325697
1,1296.099325,h2tg000001l_2325703
1,1296.099878,h2tg000001l_2325705
1,1296.100984,h2tg000001l_2325709
1,1296.102366,h2tg000001l_2325714
1,1296.107342,h2tg000001l_2325732
1,1296.108724,h2tg000001l_2325737
1,1296.109001,h2tg000001l_2325738
1,1296.10983,h2tg000001l_2325741
1,1296.111765,h2tg000001l_2325748
1,1296.114806,h2tg000001l_2325759
1,1296.120611,h2tg000001l_2325780
1,1296.121441,h2tg000001l_2325783
1,1296.121717,h2tg000001l_2325784
1,1296.128076,h2tg000001l_2325807
1,1296.129458,h2tg000001l_2325812
1,1296.132775,h2tg000001l_2325824
1,1296.133881,h2tg000001l_2325828
1,1300.13473,h2tg000001l_2338913
1,1304.64269,h2tg000001l_2372186
1,1305.474485,h2tg000001l_2373687
1,1309.94176,h2tg000001l_2381019
1,1314.890981,h2tg000001l_2381921
1,1321.076527,h2tg000001l_2386995
1,1331.943304,h2tg000001l_2418441
1,1355.015186,h2tg000001l_2421367
1,1355.015186,h2tg000001l_2421380
1,1355.015188,h2tg000001l_2421412
1,1355.015222,h2tg000001l_2421442
1,1364.414727,h2tg000001l_2421796
1,1375.29833,h2tg000001l_2422396
1,1375.298336,h2tg000001l_2422408
1,1375.298336,h2tg000001l_2422413
1,1375.298338,h2tg000001l_2422441
1,1375.298364,h2tg000001l_2422452
1,1390.530556,h2tg000001l_2422476
1,1390.549535,h2tg000001l_2422496
1,1409.804135,h2tg000001l_2427480
1,1411.191726,h2tg000001l_2456968
1,1411.192032,h2tg000001l_2456980
1,1414.84394,h2tg000001l_2486187
1,1414.844963,h2tg000001l_2486196
1,1430.839669,h2tg000001l_2493565
1,1430.839857,h2tg000001l_2493569
1,1435.479922,h2tg000001l_2493792
1,1442.45827,h2tg000001l_2497374
1,1442.458274,h2tg000001l_2497378
1,1447.615103,h2tg000001l_2502574
1,1447.615103,h2tg000001l_2502578
1,1447.615103,h2tg000001l_2502586
1,1447.615103,h2tg000001l_2502591
1,1454.110522,h2tg000001l_2537288
1,1454.138189,h2tg000001l_2537461
1,1458.140836,h2tg000001l_2550975
1,1458.534659,h2tg000001l_2552439
1,1462.486224,h2tg000001l_2553993
1,1464.66348,h2tg000001l_2566560
1,1465.094414,h2tg000001l_2569163
1,1465.731745,h2tg000001l_2572992
1,1465.786169,h2tg000001l_2573324
1,1465.947799,h2tg000001l_2573336
1,1466.4921,h2tg000001l_2596944
1,1467.096133,h2tg000001l_2597709
1,1467.109918,h2tg000001l_2604031
1,1467.779467,h2tg000001l_2619216
1,1469.927625,h2tg000001l_2621175
1,1469.934233,h2tg000001l_2622290
1,1472.965552,h2tg000001l_2710131
1,1472.966555,h2tg000001l_2710162
1,1476.751468,h2tg000001l_2714936
1,1476.752185,h2tg000001l_2714937
1,1478.017571,h2tg000001l_2715090
1,1478.01766,h2tg000001l_2715102
1,1478.01766,h2tg000001l_2715103
1,1484.519044,h2tg000001l_2728264
1,1489.988232,h2tg000001l_2729175
1,1490.242941,h2tg000001l_2729183
1,1490.242971,h2tg000001l_2729189
1,1490.24299,h2tg000001l_2729195
1,1490.243003,h2tg000001l_2729199
1,1490.243007,h2tg000001l_2729200
1,1491.626081,h2tg000001l_2729226
1,1512.42822,h2tg000001l_2737177
1,1512.42823,h2tg000001l_2737182
1,1512.428261,h2tg000001l_2737192
1,1513.415436,h2tg000001l_2737206
1,1513.415452,h2tg000001l_2737210
1,1533.980318,h2tg000001l_2740246
1,1535.539396,h2tg000001l_2740280
1,1535.53942,h2tg000001l_2740288
1,1535.53945,h2tg000001l_2740303
1,1535.539458,h2tg000001l_2740306
1,1543.40914,h2tg000001l_2740657
1,1543.409141,h2tg000001l_2740663
1,1543.409145,h2tg000001l_2740675
1,1546.618146,h2tg000001l_2766809
1,1550.217938,h2tg000001l_2776609
1,2356.142711,h2tg000001l_2804405
1,2356.75816,h2tg000001l_2804421
1,2356.75816,h2tg000001l_2804426
1,2356.75816,h2tg000001l_2804435
1,2516.612448,h2tg000001l_2809978
1,2527.476453,h2tg000001l_2836215
1,2527.476462,h2tg000001l_2836227
1,2536.23093,h2tg000001l_2836778
1,2536.230964,h2tg000001l_2836798
1,2536.230964,h2tg000001l_2836803
1,2536.230964,h2tg000001l_2836809
1,2536.230964,h2tg000001l_2836811
1,2536.230964,h2tg000001l_2836820
1,2536.230965,h2tg000001l_2836821
1,2539.388487,h2tg000001l_2836879
1,2542.328937,h2tg000001l_2836975
1,2543.086272,h2tg000001l_2837001
1,2543.086274,h2tg000001l_2837023
1,2543.086275,h2tg000001l_2837045
1,2543.086275,h2tg000001l_2837048
1,2543.086275,h2tg000001l_2837054
1,2543.086275,h2tg000001l_2837058
1,2543.086275,h2tg000001l_2837061
1,2551.389047,h2tg000001l_2837082
1,2551.400337,h2tg000001l_2837100
1,2561.951403,h2tg000001l_2850113
1,2561.951588,h2tg000001l_2850163
1,2564.196757,h2tg000001l_2850358
1,2571.544031,h2tg000001l_2851473
1,2571.544031,h2tg000001l_2851476
1,2576.393537,h2tg000001l_2858851
1,2576.393541,h2tg000001l_2858879
1,2576.393543,h2tg000001l_2858889
1,2576.393544,h2tg000001l_2858899
1,2576.393547,h2tg000001l_2858915
1,2576.447929,h2tg000001l_2858920
1,2581.7404,h2tg000001l_2859716
1,2581.740401,h2tg000001l_2859719
1,2583.137251,h2tg000001l_2916833
1,2583.78841,h2tg000001l_2917560
1,2583.942182,h2tg000001l_2917734
1,2585.722822,h2tg000001l_2930010
1,2589.347044,h2tg000001l_2972028
1,2589.34705,h2tg000001l_2972046
1,2592.661273,h2tg000001l_2975942
1,2592.664639,h2tg000001l_2978376
1,2593.930378,h2tg000001l_2982235
1,2594.381739,h2tg000001l_2987634
1,2604.859559,h2tg000001l_2997391
1,2604.859559,h2tg000001l_2997393
1,2604.859561,h2tg000001l_2997411
1,2616.008703,h2tg000001l_3008644
1,2618.362053,h2tg000001l_3023875
1,2625.409247,h2tg000001l_3023891
1,2625.409279,h2tg000001l_3023895
1,2625.423071,h2tg000001l_3024015
1,2628.584742,h2tg000001l_3024225
1,2628.624459,h2tg000001l_3024369
1,2629.284045,h2tg000001l_3025463
1,2630.313161,h2tg000001l_3027153
1,2630.537177,h2tg000001l_3059518
1,2635.08906,h2tg000001l_3061861
1,2635.089062,h2tg000001l_3061869
1,2642.859924,h2tg000001l_3063325
1,2648.218987,h2tg000001l_3063810
1,2648.219029,h2tg000001l_3063964
1,2659.690056,h2tg000001l_3084621
1,2659.769531,h2tg000001l_3084635
1,2659.769534,h2tg000001l_3084640
1,2659.769535,h2tg000001l_3084656
1,2662.112849,h2tg000001l_3084669
1,2666.398774,h2tg000001l_3085595
1,2671.558225,h2tg000001l_3098375
1,2671.854414,h2tg000001l_3099896
1,2672.499763,h2tg000001l_3103180
1,2675.826998,h2tg000001l_3118978
1,2675.827013,h2tg000001l_3118987
1,2676.712313,h2tg000001l_3125900
1,2677.022584,h2tg000001l_3128356
1,2677.022585,h2tg000001l_3128357
1,2684.718059,h2tg000001l_3128480
1,2684.718656,h2tg000001l_3128499
1,2684.718688,h2tg000001l_3128500
1,2695.70183,h2tg000001l_3128574
1,2695.701872,h2tg000001l_3128579
1,2699.489154,h2tg000001l_3148393
1,2699.78919,h2tg000001l_3149172
1,2699.792846,h2tg000001l_3149367
1,2699.908322,h2tg000001l_3149571
1,2702.709407,h2tg000001l_3154185
1,2704.395524,h2tg000001l_3155145
1,2708.600624,h2tg000001l_3155368
1,2709.731166,h2tg000001l_3170707
1,2709.751877,h2tg000001l_3222488
1,2710.360398,h2tg000001l_3229087
1,2714.907903,h2tg000001l_3247460
1,2720.180188,h2tg000001l_3265995
1,2720.180188,h2tg000001l_3266021
1,2720.191597,h2tg000001l_3266056
1,2729.160317,h2tg000001l_3288165
1,2729.160317,h2tg000001l_3288166
1,2729.160317,h2tg000001l_3288183
1,2732.234887,h2tg000001l_3288431
1,2741.76984,h2tg000001l_3292571
1,2741.770641,h2tg000001l_3292623
1,2744.263177,h2tg000001l_3292692
1,2744.263455,h2tg000001l_3292749
1,2755.643422,h2tg000001l_3326934
1,2757.22108,h2tg000001l_3346162
1,2757.222187,h2tg000001l_3346176
1,2757.223216,h2tg000001l_3346189
1,2757.224165,h2tg000001l_3346201
1,2757.369606,h2tg000001l_3348033
1,2757.382596,h2tg000001l_3348040
1,2763.882488,h2tg000001l_3350995
1,2764.413089,h2tg000001l_3351277
1,2764.418655,h2tg000001l_3351280
1,2764.446502,h2tg000001l_3351295
1,2766.391646,h2tg000001l_3352861
1,2766.398722,h2tg000001l_3352867
1,2766.406977,h2tg000001l_3352874
1,2768.84071,h2tg000001l_3358563
1,2768.841113,h2tg000001l_3358564
